"id","numeroMesa","capacidad","local"
1,"M0001",130,733
2,"M0002",90,633
3,"M0003",85,294
4,"M0004",110,557
5,"M0005",80,623
6,"M0006",85,108
7,"M0007",80,164
8,"M0008",140,176
9,"M0009",80,389
10,"M0010",105,287
11,"M0011",140,314
12,"M0012",120,79
13,"M0013",125,349
14,"M0014",100,110
15,"M0015",85,402
16,"M0016",105,290
17,"M0017",115,357
18,"M0018",140,524
19,"M0019",150,312
20,"M0020",120,229
21,"M0021",105,35
22,"M0022",145,524
23,"M0023",95,259
24,"M0024",130,483
25,"M0025",115,554
26,"M0026",125,317
27,"M0027",145,612
28,"M0028",110,776
29,"M0029",100,173
30,"M0030",100,252
31,"M0031",115,221
32,"M0032",105,445
33,"M0033",95,236
34,"M0034",110,133
35,"M0035",125,201
36,"M0036",140,493
37,"M0037",95,338
38,"M0038",150,745
39,"M0039",145,496
40,"M0040",95,411
41,"M0041",145,306
42,"M0042",80,101
43,"M0043",95,325
44,"M0044",95,235
45,"M0045",145,157
46,"M0046",110,580
47,"M0047",130,320
48,"M0048",120,351
49,"M0049",125,785
50,"M0050",80,648
51,"M0051",95,393
52,"M0052",80,191
53,"M0053",100,259
54,"M0054",115,317
55,"M0055",85,505
56,"M0056",125,692
57,"M0057",105,105
58,"M0058",95,614
59,"M0059",150,31
60,"M0060",100,591
61,"M0061",100,320
62,"M0062",105,577
63,"M0063",130,728
64,"M0064",125,364
65,"M0065",140,4
66,"M0066",100,221
67,"M0067",95,767
68,"M0068",125,264
69,"M0069",135,440
70,"M0070",80,336
71,"M0071",145,582
72,"M0072",110,764
73,"M0073",140,179
74,"M0074",150,791
75,"M0075",90,257
76,"M0076",115,273
77,"M0077",145,596
78,"M0078",80,102
79,"M0079",85,625
80,"M0080",130,148
81,"M0081",135,463
82,"M0082",105,616
83,"M0083",140,789
84,"M0084",130,309
85,"M0085",150,420
86,"M0086",150,85
87,"M0087",145,173
88,"M0088",120,410
89,"M0089",85,428
90,"M0090",100,259
91,"M0091",80,542
92,"M0092",140,685
93,"M0093",85,609
94,"M0094",110,667
95,"M0095",105,294
96,"M0096",110,125
97,"M0097",145,114
98,"M0098",90,308
99,"M0099",130,33
100,"M0100",95,276
101,"M0101",135,106
102,"M0102",100,540
103,"M0103",125,789
104,"M0104",120,546
105,"M0105",105,708
106,"M0106",95,229
107,"M0107",120,143
108,"M0108",95,59
109,"M0109",105,313
110,"M0110",150,721
111,"M0111",135,601
112,"M0112",140,525
113,"M0113",80,108
114,"M0114",95,277
115,"M0115",105,274
116,"M0116",135,300
117,"M0117",100,412
118,"M0118",100,632
119,"M0119",85,169
120,"M0120",85,739
121,"M0121",150,354
122,"M0122",90,226
123,"M0123",145,234
124,"M0124",115,714
125,"M0125",105,605
126,"M0126",150,315
127,"M0127",90,344
128,"M0128",80,526
129,"M0129",110,734
130,"M0130",95,181
131,"M0131",135,314
132,"M0132",100,550
133,"M0133",120,339
134,"M0134",115,172
135,"M0135",140,508
136,"M0136",145,608
137,"M0137",100,620
138,"M0138",140,341
139,"M0139",90,514
140,"M0140",95,309
141,"M0141",130,324
142,"M0142",110,799
143,"M0143",125,565
144,"M0144",85,162
145,"M0145",85,184
146,"M0146",150,326
147,"M0147",120,431
148,"M0148",125,407
149,"M0149",140,529
150,"M0150",85,492
151,"M0151",115,4
152,"M0152",120,312
153,"M0153",140,228
154,"M0154",105,384
155,"M0155",145,355
156,"M0156",80,662
157,"M0157",115,240
158,"M0158",105,534
159,"M0159",90,38
160,"M0160",145,797
161,"M0161",100,640
162,"M0162",120,452
163,"M0163",150,787
164,"M0164",110,749
165,"M0165",130,579
166,"M0166",145,575
167,"M0167",125,773
168,"M0168",145,70
169,"M0169",110,379
170,"M0170",150,211
171,"M0171",95,527
172,"M0172",85,253
173,"M0173",80,458
174,"M0174",80,582
175,"M0175",85,299
176,"M0176",115,567
177,"M0177",130,420
