"id","nombre","direccion","distrito","capacidad","estado"
1,"Centro Educativo Miguel Grau","Av. Túpac Amaru 5109","Magdalena del Mar",1700,"Activo"
2,"I.E. José Carlos Mariátegui","Av. La Marina 9161","San Martín de Porres",4450,"Activo"
3,"I.E. José María Arguedas","Av. Túpac Amaru 8286","Ate",2400,"Activo"
4,"Centro Educativo José Gálvez","Av. Arequipa 2771","Independencia",3050,"Activo"
5,"Universidad Nuestra Señora de Guadalupe","Av. La Marina 9910","La Molina",3950,"Activo"
6,"Instituto Leoncio Prado","Av. Abancay 2429","Miraflores",1250,"Activo"
7,"Instituto Ricardo Palma","Av. Aviación 1899","Puente Piedra",4950,"Activo"
8,"Centro Educativo José Quiñones","Av. Brasil 7481","Ancón",4150,"Activo"
9,"Instituto José Olaya","Av. Los Próceres 6513","Villa María del Triunfo",800,"Activo"
10,"Colegio César Vallejo","Av. Arequipa 4135","Rímac",3300,"Activo"
11,"Colegio José Carlos Mariátegui","Av. La Marina 8952","Breña",1650,"Activo"
12,"Universidad Andrés Avelino Cáceres","Av. Universitaria 4599","Barranco",1500,"Activo"
13,"Centro Educativo Alfonso Ugarte","Av. La Marina 8647","Miraflores",4900,"Activo"
14,"I.E. José Carlos Mariátegui","Av. Brasil 6909","Santa Anita",4900,"Activo"
15,"Instituto Andrés Avelino Cáceres","Av. Benavides 6105","Puente Piedra",2200,"Activo"
16,"Colegio Alfonso Ugarte","Av. Tomás Valle 2214","Breña",2950,"Activo"
17,"Colegio José Olaya","Av. Brasil 2859","Cieneguilla",700,"Activo"
18,"Colegio José Gálvez","Av. Arequipa 805","La Victoria",1400,"Activo"
19,"Centro Educativo Andrés Avelino Cáceres","Av. Universitaria 1870","Barranco",3750,"Activo"
20,"Centro Educativo Miguel Grau","Av. Tomás Valle 9565","Breña",2300,"Activo"
21,"Instituto Abraham Valdelomar","Av. Javier Prado 882","Villa María del Triunfo",3550,"Activo"
22,"Centro Educativo Leoncio Prado","Av. Benavides 7047","Carabayllo",3450,"Activo"
23,"Universidad Abraham Valdelomar","Av. Arequipa 5348","San Bartolo",1700,"Activo"
24,"Instituto Ricardo Palma","Av. Túpac Amaru 5461","La Victoria",3950,"Activo"
25,"Universidad Nuestra Señora de Guadalupe","Av. Los Próceres 3265","San Luis",4300,"Activo"
26,"Universidad Daniel Alcides Carrión","Av. Universitaria 8938","La Molina",2750,"Activo"
27,"Colegio José Faustino Sánchez Carrión","Av. Arequipa 7997","Lurigancho",1650,"Activo"
28,"Centro Educativo José Faustino Sánchez Carrión","Av. Brasil 943","Ate",2500,"Activo"
29,"Instituto Ricardo Palma","Av. Universitaria 3765","San Juan de Lurigancho",800,"Activo"
30,"Colegio José María Arguedas","Av. Próceres de la Independencia 3355","Chaclacayo",500,"Activo"
31,"Colegio San Martín","Av. Arequipa 1547","San Juan de Lurigancho",3100,"Activo"
32,"Centro Educativo José María Arguedas","Av. Arequipa 9530","Los Olivos",2150,"Activo"
33,"Instituto Víctor Raúl Haya de la Torre","Av. Arequipa 4635","Cieneguilla",2450,"Activo"
34,"Centro Educativo Santa Rosa","Av. Benavides 6774","San Luis",2550,"Activo"
35,"Centro Educativo José Olaya","Av. Túpac Amaru 671","San Isidro",4350,"Activo"
36,"I.E. San Martín","Av. Los Alisos 8393","San Borja",2950,"Activo"
37,"Instituto Daniel Alcides Carrión","Av. Brasil 995","San Bartolo",4550,"Activo"
38,"Centro Educativo Miguel Grau","Av. Túpac Amaru 2314","San Luis",1450,"Activo"
39,"I.E. Daniel Alcides Carrión","Av. Angamos 6735","Cieneguilla",1450,"Activo"
40,"Centro Educativo Túpac Amaru","Av. Abancay 1680","Comas",2300,"Activo"
41,"Colegio Alfonso Ugarte","Av. Tomás Valle 8679","Santiago de Surco",3550,"Activo"
42,"I.E. José Quiñones","Av. Arequipa 1198","Pueblo Libre",2800,"Activo"
43,"Universidad César Vallejo","Av. Arequipa 9688","Pueblo Libre",3950,"Activo"
44,"Colegio Alfonso Ugarte","Av. Angamos 2283","San Bartolo",1800,"Activo"
45,"Centro Educativo Alfonso Ugarte","Av. Brasil 282","La Molina",4550,"Inactivo"
46,"Centro Educativo Miguel Grau","Av. Abancay 4761","Independencia",3950,"Activo"
47,"Universidad Santa Rosa","Av. Arequipa 6440","San Luis",1400,"Activo"
48,"Centro Educativo José Olaya","Av. Los Próceres 7741","Ancón",3500,"Activo"
49,"Instituto José Carlos Mariátegui","Av. Brasil 7225","Breña",1000,"Activo"
50,"I.E. San Martín","Av. Los Próceres 7466","San Bartolo",1750,"Inactivo"
51,"I.E. Andrés Avelino Cáceres","Av. La Marina 4216","Punta Hermosa",2050,"Activo"
52,"Universidad José Carlos Mariátegui","Av. Arequipa 8840","La Molina",2750,"Activo"
53,"Centro Educativo Santa Rosa","Av. Abancay 3292","Breña",3400,"Activo"
54,"Centro Educativo José Carlos Mariátegui","Av. Túpac Amaru 5690","Rímac",2750,"Activo"
55,"I.E. Alfonso Ugarte","Av. Aviación 5958","San Bartolo",2300,"Activo"
56,"Instituto Nuestra Señora de Guadalupe","Av. Próceres de la Independencia 4298","Villa El Salvador",3600,"Activo"
57,"I.E. Túpac Amaru","Av. Los Alisos 9609","Villa El Salvador",1900,"Activo"
58,"Instituto Alfonso Ugarte","Av. Benavides 8162","Puente Piedra",4700,"Activo"
59,"I.E. Alfonso Ugarte","Av. Arequipa 9007","Magdalena del Mar",1850,"Activo"
60,"I.E. José María Arguedas","Av. Tomás Valle 947","La Molina",1900,"Activo"
