"id","votante","mesa","local","fechaAsignacion"
1,1,10,287,2026-03-01
2,4,14,110,2026-03-01
3,12,31,221,2026-03-01
4,21,66,221,2026-03-01
5,66,108,59,2026-03-01
6,143,120,739,2026-03-01
7,216,125,605,2026-03-01
8,258,185,605,2026-03-01
9,266,216,796,2026-03-01
10,367,358,287,2026-03-01
11,393,365,731,2026-03-01
12,414,10,287,2026-03-01
13,418,14,110,2026-03-01
14,422,31,221,2026-03-01
15,486,66,221,2026-03-01
16,504,108,59,2026-03-01
17,516,120,739,2026-03-01
18,546,125,605,2026-03-01
19,563,185,605,2026-03-01
20,564,216,796,2026-03-01
21,603,358,287,2026-03-01
22,610,365,731,2026-03-01
23,656,10,287,2026-03-01
24,691,14,110,2026-03-01
25,699,31,221,2026-03-01
26,706,66,221,2026-03-01
27,741,108,59,2026-03-01
28,802,120,739,2026-03-01
29,825,125,605,2026-03-01
30,915,185,605,2026-03-01
31,916,216,796,2026-03-01
32,943,358,287,2026-03-01
33,980,365,731,2026-03-01
34,1013,10,287,2026-03-01
35,1026,14,110,2026-03-01
36,1053,31,221,2026-03-01
37,1103,66,221,2026-03-01
38,1110,108,59,2026-03-01
39,1154,120,739,2026-03-01
40,1158,125,605,2026-03-01
41,1174,185,605,2026-03-01
42,1242,216,796,2026-03-01
43,1249,358,287,2026-03-01
44,1285,365,731,2026-03-01
45,1326,10,287,2026-03-01
46,1350,14,110,2026-03-01
47,1365,31,221,2026-03-01
48,1419,66,221,2026-03-01
49,1434,108,59,2026-03-01
50,1517,120,739,2026-03-01
51,1548,125,605,2026-03-01
52,1588,185,605,2026-03-01
53,1589,216,796,2026-03-01
54,1592,358,287,2026-03-01
55,1601,365,731,2026-03-01
56,1617,10,287,2026-03-01
57,1629,14,110,2026-03-01
58,1744,31,221,2026-03-01
59,1754,66,221,2026-03-01
60,1773,108,59,2026-03-01
61,1781,120,739,2026-03-01
62,1836,125,605,2026-03-01
63,1880,185,605,2026-03-01
64,1914,216,796,2026-03-01
65,2075,358,287,2026-03-01
66,2086,365,731,2026-03-01
67,2154,10,287,2026-03-01
68,2171,14,110,2026-03-01
69,2230,31,221,2026-03-01
70,2231,66,221,2026-03-01
71,2251,108,59,2026-03-01
72,2258,120,739,2026-03-01
73,2277,125,605,2026-03-01
74,2279,185,605,2026-03-01
75,2353,216,796,2026-03-01
76,2401,358,287,2026-03-01
77,2413,365,731,2026-03-01
78,2424,10,287,2026-03-01
79,2439,14,110,2026-03-01
80,2456,31,221,2026-03-01
81,2461,66,221,2026-03-01
82,2578,108,59,2026-03-01
83,2609,120,739,2026-03-01
84,2619,125,605,2026-03-01
85,2626,185,605,2026-03-01
86,2628,216,796,2026-03-01
87,2640,358,287,2026-03-01
88,2653,365,731,2026-03-01
89,2824,10,287,2026-03-01
90,2830,14,110,2026-03-01
91,2848,31,221,2026-03-01
92,2881,66,221,2026-03-01
93,2898,108,59,2026-03-01
94,2908,120,739,2026-03-01
95,2925,125,605,2026-03-01
96,2949,185,605,2026-03-01
97,2980,216,796,2026-03-01
98,2985,358,287,2026-03-01
99,3027,365,731,2026-03-01
100,3085,10,287,2026-03-01
101,3114,14,110,2026-03-01
102,3162,31,221,2026-03-01
103,3175,66,221,2026-03-01
104,3217,108,59,2026-03-01
105,3222,120,739,2026-03-01
106,3271,125,605,2026-03-01
107,3273,185,605,2026-03-01
108,3282,216,796,2026-03-01
109,3331,358,287,2026-03-01
110,3336,365,731,2026-03-01
111,3346,10,287,2026-03-01
112,3351,14,110,2026-03-01
113,3371,31,221,2026-03-01
114,3389,66,221,2026-03-01
115,3393,108,59,2026-03-01
116,3407,120,739,2026-03-01
117,3454,125,605,2026-03-01
118,3473,185,605,2026-03-01
119,3530,216,796,2026-03-01
120,3554,358,287,2026-03-01
121,3585,365,731,2026-03-01
122,3609,10,287,2026-03-01
123,3638,14,110,2026-03-01
124,3670,31,221,2026-03-01
125,3706,66,221,2026-03-01
126,3717,108,59,2026-03-01
127,3731,120,739,2026-03-01
128,3750,125,605,2026-03-01
129,3755,185,605,2026-03-01
130,3870,216,796,2026-03-01
131,3896,358,287,2026-03-01
132,3996,365,731,2026-03-01
133,4041,10,287,2026-03-01
134,4050,14,110,2026-03-01
135,4058,31,221,2026-03-01
136,4138,66,221,2026-03-01
137,4183,108,59,2026-03-01
138,4234,120,739,2026-03-01
139,4330,125,605,2026-03-01
140,4332,185,605,2026-03-01
141,4360,216,796,2026-03-01
142,4391,358,287,2026-03-01
143,4401,365,731,2026-03-01
144,4416,10,287,2026-03-01
